feature_pair,covariance
num_of_char_num_any_words,257847.03463216487
num_of_char_num_long_words,49895.48732202626
num_of_char_num_short_words,209055.82080231153
num_of_char_num_sentences,19658.717767967835
num_of_char_num_diff_word_stop,73404.05039415664
num_of_char_num_diff_word_nstop,63707.20708568021
num_of_char_avg_sentence_length,1219.2517699768673
num_of_char_avg_word_length,15.545509692425464
num_of_char_num_syllables,157592.51773598033
num_of_char_most_freq_word_length,136.58983710690765
num_of_char_most_freq_sentence_length,930.9321611369008
num_of_char_flesch_reading_ease,234.36478131659533
num_of_char_flesch_kincaid_grade_level,234.36478131659533
num_of_char_automated_readability_index,682.8452356397571
num_of_char_LIX_readability,-12.00737096880049
num_of_char_dale_chall_readability,100.23205704874199
num_of_char_SMOG_readability,1174.912751380049
num_of_char_type_token_ratio,-51.6301372612247
num_of_char_hapax_legomena,40091.235689364
num_of_char_num_diff_pos,711.0551599030973
num_of_char_num_pos_coord_conj,151.99751792599872
num_of_char_num_pos_num,1001.5684597103502
num_of_char_num_pos_det,379.1434142357957
num_of_char_num_pos_sub_conj,1315.3065966294419
num_of_char_num_pos_adj,14237.163101192024
num_of_char_num_pos_aux,8623.264363564995
num_of_char_num_pos_noun,32559.969180859694
num_of_char_num_pos_adv,11892.18638008739
num_of_char_num_pos_verb,31915.003865296032
num_any_words_num_long_words,11848.22927690116
num_any_words_num_short_words,52204.581136369095
num_any_words_num_sentences,4761.819676337551
num_any_words_num_diff_word_stop,17667.128974153882
num_any_words_num_diff_word_nstop,15287.93093341434
num_any_words_avg_sentence_length,504.12258982700206
num_any_words_avg_word_length,-1.407980807493458
num_any_words_num_syllables,38097.434526175355
num_any_words_most_freq_word_length,34.537748400541645
num_any_words_most_freq_sentence_length,821.4710549077506
num_any_words_flesch_reading_ease,80.14895860573742
num_any_words_flesch_kincaid_grade_level,80.14895860573742
num_any_words_automated_readability_index,245.4297053102068
num_any_words_LIX_readability,-73.96335362789816
num_any_words_dale_chall_readability,28.706950800096763
num_any_words_SMOG_readability,275.9632881816715
num_any_words_type_token_ratio,-13.459851476937175
num_any_words_hapax_legomena,9457.11536088205
num_any_words_num_diff_pos,172.39632656335317
num_any_words_num_pos_coord_conj,37.54032367559983
num_any_words_num_pos_num,241.49560574276316
num_any_words_num_pos_det,90.87721886731289
num_any_words_num_pos_sub_conj,324.0510993286566
num_any_words_num_pos_adj,3435.8232140326927
num_any_words_num_pos_aux,2148.8097398227574
num_any_words_num_pos_noun,7839.034874290349
num_any_words_num_pos_adv,2933.772495233925
num_any_words_num_pos_verb,7887.820328416199
num_long_words_num_short_words,9315.282499307157
num_long_words_num_sentences,850.3072720494469
num_long_words_num_diff_word_stop,3562.4534152516376
num_long_words_num_diff_word_nstop,3110.608348447685
num_long_words_avg_sentence_length,65.3707878325168
num_long_words_avg_word_length,2.608179682371777
